Row Labels,Latest Year,CY2019,Country,Hub2019,Chg
ATL,45063260,53504970,US,L,-0.157774315
DFW,35205800,35785025,US,L,-0.01618624
DEN,33620539,33591988,US,L,0.000849935
ORD,32965471,40887614,US,L,-0.193754104
LAX,32048752,42965654,US,L,-0.25408439
JFK,26449380,31123436,US,L,-0.15017802
LAS,25157736,24577638,US,L,0.023602675
MCO,24231877,24583147,US,L,-0.014289057
MIA,23961859,21456027,US,L,0.116789189
CLT,22922062,24198350,US,L,-0.05274277
SEA,21924857,24968689,US,L,-0.12190596
PHX,21812550,22452517,US,L,-0.02850313
EWR,21407596,23171827,US,L,-0.076136897
SFO,20000122,27714570,US,L,-0.278353516
IAH,19674198,21906206,US,L,-0.1018893
BOS,17181417,20706281,US,L,-0.170231632
FLL,15168508,17957463,US,L,-0.155308965
MSP,15161677,19186947,US,L,-0.209792105
LGA,14193501,15393464,US,L,-0.07795276
DTW,13720357,18141814,US,L,-0.243716367
SLC,12369644,12839565,US,L,-0.036599449
PHL,12348477,16012437,US,L,-0.228819636
DCA,11465551,11595425,US,L,-0.011200452
SAN,11050586,12647914,US,L,-0.126291814
BWI,11050332,13259925,US,L,-0.166636915
TPA,10535158,10940448,US,L,-0.037045101
AUS,10312934,8506277,US,M,0.212391038
IAD,10136909,11893911,US,L,-0.147722814
BNA,9772153,8934552,US,M,0.093748517
MDW,9561287,10080340,US,L,-0.051491616
HNL,8619080,9977597,US,L,-0.136156732
DAL,7811029,8079169,US,M,-0.033189057
PDX,7225758,9796208,US,L,-0.262392346
STL,6688808,7759334,US,M,-0.137966222
HOU,6446515,7068815,US,M,-0.088034557
SMF,6044561,6454512,US,M,-0.063513864
MSY,5872620,6873308,US,M,-0.145590449
RDU,5801993,6918819,US,M,-0.161418589
SJC,5543366,7686943,US,M,-0.278859489
SNA,5502242,5197866,US,M,0.058557877
OAK,5480584,6664358,US,M,-0.177627612
RSW,5225108,5043752,US,M,0.035956566
SJU,5002814,4561444,US,M,0.096761026
MCI,4775233,5759138,US,M,-0.170842407
SAT,4699770,5033308,US,M,-0.066266161
CLE,4250507,4894144,US,M,-0.13151166
IND,4197043,4706407,US,M,-0.108227784
OGG,4064232,3791746,US,M,0.071862936
PIT,3905535,4713632,US,M,-0.171438288
CVG,3672462,4413366,US,M,-0.167877307
CMH,3618203,4170705,US,M,-0.132472088
PBI,3229296,3458878,US,M,-0.066374703
JAX,3144358,3479058,US,M,-0.096204202
BUR,3066946,3116021,US,M,-0.015749252
ONT,2831460,2718734,US,M,0.041462681
BDL,2828685,3322531,US,M,-0.148635483
MKE,2679811,3373886,US,M,-0.205719755
CHS,2581545,2375424,US,M,0.086772298
ANC,2548218,2695852,US,M,-0.054763392
ABQ,2306216,2641284,US,M,-0.126857998
BOI,2205370,2057064,US,S,0.072095958
OMA,2194103,2454926,US,M,-0.10624475
MEM,2153240,2318017,US,S,-0.071085329
RNO,2133088,2160453,US,S,-0.012666325
ORF,2062998,1990510,US,S,0.036416798
RIC,2029939,2189762,US,S,-0.072986471
BUF,2023058,2458860,US,M,-0.177237419
KOA,1983794,1929272,US,S,0.028260401
OKC,1927097,2141331,US,S,-0.10004712
ELP,1900533,1745438,US,S,0.088857353
SRQ,1895957,977046,US,S,0.940499219
