X,Y,objectid,locid,facility_c,date,est_area
-80.239910188,40.5051158090001,1,PIT,"Delta Air Lines; United Parcel Service",09/2018,74000
-80.237486084,40.5044404540001,2,PIT,Federal Express,09/2018,73000
-80.2342178389999,40.504221011,3,PIT, ,09/2018,65000
-80.219726898,40.4960064650001,4,PIT, ,09/2018,55000
-78.776205289,35.8898124510001,5,RDU,Federal Express,09/2018,63000
-78.77992804,35.8869223460001,6,RDU, ,09/2018,8000
-78.778066628,35.8884378600001,7,RDU,United Parcel Service,09/2018,36000
-89.1040871129999,42.201018622,8,RFD,United Parcel Service,09/2018,539000
-89.107057815,42.1993948360001,9,RFD, ,09/2018,72000
-89.100137822,42.201626247,10,RFD, ,09/2018,20000
-77.335754045,37.502826956,11,RIC,Federal Express,09/2018,18000
-119.775159688,39.510092576,12,RNO,"Alaska Airlines; DHL Airlines; United Parcel Service",09/2018,56000
-117.187793202,32.7381396110001,13,SAN,Federal Express,09/2018,18000
-98.457501835,29.5310940300001,14,SAT,DHL Airlines,09/2018,20000
-98.456753347,29.5322296370001,15,SAT, ,09/2018,33000
-85.7489182099999,38.1775223980001,16,SDF,Federal Express,09/2018,104000
-85.752235642,38.1780608980001,17,SDF,United Parcel Service,09/2018,67000
-85.7523499759999,38.177089691,18,SDF, ,09/2018,28000
-85.750923078,38.176695394,19,SDF,"Midwest Airlines; Pace Airlines",09/2018,82000
-85.750077995,38.1760214920001,20,SDF,Alside Supply Center,09/2018,41000
-85.726217122,38.1842250730001,21,SDF,Ameriflight,09/2018,60000
-85.734157034,38.1566028920001,22,SDF,United Parcel Service,09/2018,688000
-85.734329488,38.1700850020001,23,SDF,United Parcel Service,09/2018,4994000
-85.7447197989999,38.183805555,24,SDF,"Derby City Trucking; Worldwide Flight Services",09/2018,69000
-122.300550801,47.4603151420001,25,SEA,Federal Express,09/2018,84000
-122.301072514,47.4593888950001,26,SEA,"Accelerated Global Logistics, LLC; Raymond Express International",09/2018,33000
-122.302283907,47.4584894280001,27,SEA,Emirates,09/2018,45000
-122.301129745,47.458475579,28,SEA,United Parcel Service,09/2018,21000
-122.303358276,47.4555972900001,29,SEA,Worldwide Flight Services,09/2018,45000
-122.301615948,47.4567974980001,30,SEA,Alaska Airlines,09/2018,66000
-122.303022533,47.4642481020001,31,SEA,US Airways,09/2018,59000
-122.30155959,47.463971837,32,SEA, ,09/2018,29000
-122.300923815,47.463970375,33,SEA,Federal Express,09/2018,29000
-122.29986727,47.463961355,34,SEA,Matheson Flight Extenders,09/2018,27000
-122.300839515,47.4631145230001,35,SEA,"DHL Airlines; Hanjin Global Logistics; Integrated Airline Services; Korean Air Lines",09/2018,84000
-122.302834379,47.4528775630001,36,SEA,"China Airlines; Martinair Holland; Swissport Cargo Services",09/2018,54000
-122.299133808,47.4351733820001,37,SEA,Delta Air Lines,09/2018,65000
-122.389717687,37.6359841610001,38,SFO,American Airlines,09/2018,82000
-122.38772581,37.6374648390001,39,SFO,"Alaska Airlines; All Nippon Airways; Lufthansa German Airlines; Taca International Airlines Cargo",09/2018,216000
-122.396680659,37.616788958,40,SFO,United Air Lines,09/2018,155000
-122.398063173,37.6192800090001,41,SFO,Southwest Airlines,09/2018,76000
-122.398737959,37.620971082,42,SFO,"Air Canada; Delta Air Lines; EVA Airways; Servisair",09/2018,86000
-122.395674459,37.6219225500001,43,SFO,Swiss World Airways,09/2018,75000
-122.394777307,37.624258039,44,SFO,"Asiana Airlines; China Airlines; Japan Air Lines; Virgin Atlantic Airways",09/2018,107000
